lat,long,label,prob,prediction
21.11139857,92.18478339,fck,0.992834926,zigzag
21.11290976,92.18407222,fck,0.95446533,zigzag
21.1156734,92.1733066,fck,0.766403317,zigzag
21.1156734,92.18267441,fck,0.653799474,zigzag
21.2141104,92.17938832,fck,0.011560972,fck
21.28822137,92.14912687,fck,0.992302775,zigzag
21.29646952,92.16978754,fck,0.597590208,zigzag
21.29686131,92.16924803,fck,0.521971345,zigzag
21.30110612,92.14065415,fck,0.883589625,zigzag
21.30255682,92.14756965,fck,0.644173503,zigzag
21.31844664,92.10643223,fck,0.997987986,zigzag
21.32346304,92.12178366,fck,0.997702897,zigzag
21.3235302,92.08214215,fck,0.783194661,zigzag
21.32406751,92.08192144,fck,0.895958424,zigzag
21.40580559,92.18906266,fck,0.501307487,zigzag
21.41951761,92.09008761,fck,0.536723435,zigzag
21.42013991,92.09450177,fck,0.550907969,zigzag
21.42043095,92.09983553,fck,0.849200308,zigzag
21.42163328,92.08712032,fck,0.71299082,zigzag
21.42211463,92.08758626,fck,0.947093606,zigzag
21.42378253,92.08465576,fck,0.001251117,fck
21.42467806,92.08124706,fck,0.633972704,zigzag
21.42533183,92.09664753,fck,0.618325412,zigzag
21.42657437,92.09380286,fck,0.209663555,fck
21.4289296,92.08415304,fck,0.002685905,fck
21.43008021,92.07609721,fck,0.067687266,fck
21.43092657,92.08683831,fck,0.000218046,fck
21.43152424,92.0782062,fck,0.970489323,zigzag
21.43263245,92.09050451,fck,0.972695768,zigzag
21.43318096,92.06942694,fck,0.100887395,fck
21.43324812,92.07553318,fck,0.12542057,fck
21.4332929,92.0674651,fck,0.980993271,zigzag
21.43428916,92.08882468,fck,0.014556803,fck
21.43629724,92.03877313,fck,0.95097518,zigzag
21.43682766,92.08665439,fck,0.995840073,zigzag
21.438059,92.08925383,fck,0.39250347,fck
21.43811497,92.09773881,fck,0.596786439,zigzag
21.43847318,92.13302748,fck,0.795160174,zigzag
21.43878662,92.08535467,fck,0.003893104,fck
21.43981646,92.06758771,fck,0.068273701,fck
21.44184684,92.09132603,fck,0.000161611,fck
21.44511971,92.12233543,fck,0.683300674,zigzag
21.44521343,92.13047709,fck,0.916175187,zigzag
21.4461873,92.13090624,fck,0.694926739,zigzag
21.44863172,92.0395456,fck,1.27E-05,fck
21.45231863,92.13682856,fck,0.560011327,zigzag
21.50349147,92.06688881,fck,0.224212557,fck
21.53200108,92.03272819,fck,0.563287199,zigzag
21.54396905,91.96796281,fck,0.993573844,zigzag
21.548541,92.03297343,fck,0.001054501,fck
21.54894398,92.065491,fck,0.462894112,fck
21.54949249,92.06833567,fck,0.001483265,fck
21.55081571,92.03526633,fck,0.574263334,zigzag
21.56552647,92.08036423,fck,0.135532692,fck
21.56695931,92.04389845,fck,0.993978262,zigzag
21.66705652,92.28161267,fck,0.014663103,fck
21.78626939,92.13226727,fck,0.448033005,fck
21.78724327,92.1320343,fck,0.525051057,zigzag
21.79753399,92.11615562,fck,0.664288044,zigzag
21.80896354,92.43446486,fck,0.049913291,fck
21.80918742,92.11034366,fck,9.86E-05,fck
21.81040058,92.11713654,fck,0.876285017,zigzag
21.81254983,92.11580004,fck,0.000189884,fck
21.81403864,92.11746761,fck,0.651162922,zigzag
21.81588565,92.11580004,fck,1.10E-05,fck
21.82033845,92.10362434,fck,0.655601859,zigzag
21.82157085,92.10976737,fck,0.091519259,fck
21.82555592,92.11197444,fck,0.665715098,zigzag
21.82773876,92.11106709,fck,0.000140548,fck
21.82980965,92.11194992,fck,0.555224955,zigzag
